Misalign bytes,Performance,Fraction from basis
0,269153.7678513035,1
1,200780.8791107862,0.7459709024831837
32,267606.48756853206,0.994251314796283
42,160668.2953453125,0.5969386816612399
63,161585.7496869278,0.6003473441107365
