Misalign bytes,Performance,Fraction from basis
0,100631.13911290323,1
1,101871.90202831994,1.0123298108950614
32,102694.9279835391,1.020508451845312
42,102276.21926229508,1.016347625237017
63,102272.82786885246,1.0163139240042522
